団体コード,地域,都道府県名,市区町村名,都道府県名市区町村名,基本構想作成,URL,Google検索
010006,北海道,北海道,,北海道,,,https://www.google.com/search?q=バリアフリー基本構想 北海道
011002,北海道,北海道,札幌市,北海道札幌市,TRUE,https://www.city.sapporo.jp/sogokotsu/barrier/basic/index.html,https://www.google.com/search?q=バリアフリー基本構想 北海道札幌市
012025,北海道,北海道,函館市,北海道函館市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道函館市
012033,北海道,北海道,小樽市,北海道小樽市,TRUE,https://www.city.otaru.lg.jp/categories/bunya/seikatu_infra/barrierfree/,https://www.google.com/search?q=バリアフリー基本構想 北海道小樽市
012041,北海道,北海道,旭川市,北海道旭川市,TRUE,https://www.city.asahikawa.hokkaido.jp/700/735/747/749/p009293.html,https://www.google.com/search?q=バリアフリー基本構想 北海道旭川市
012050,北海道,北海道,室蘭市,北海道室蘭市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 北海道室蘭市
012068,北海道,北海道,釧路市,北海道釧路市,TRUE,https://www.city.kushiro.lg.jp/machi/tkeikaku/1006116/1008380/1006137/index.html,https://www.google.com/search?q=バリアフリー基本構想 北海道釧路市
012076,北海道,北海道,帯広市,北海道帯広市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道帯広市
012084,北海道,北海道,北見市,北海道北見市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 北海道北見市
012092,北海道,北海道,夕張市,北海道夕張市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道夕張市
012106,北海道,北海道,岩見沢市,北海道岩見沢市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道岩見沢市
012114,北海道,北海道,網走市,北海道網走市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道網走市
012122,北海道,北海道,留萌市,北海道留萌市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道留萌市
012131,北海道,北海道,苫小牧市,北海道苫小牧市,TRUE,https://www.city.tomakomai.hokkaido.jp/shisei/toshikeikaku/toshikeikaku/bariafurii/,https://www.google.com/search?q=バリアフリー基本構想 北海道苫小牧市
012149,北海道,北海道,稚内市,北海道稚内市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道稚内市
012157,北海道,北海道,美唄市,北海道美唄市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道美唄市
012165,北海道,北海道,芦別市,北海道芦別市,,,https://www.google.com/search?q=バリアフリー基本構想 北海道芦別市
012173,北海道,北海道,江別市,北海道江別市,TRUE,https://www.city.ebetsu.hokkaido.jp/soshiki/seisaku/2731.html,https://www.google.com/search?q=バリアフリー基本構想 北海道江別市
